Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…
"Allison, Kristen",Motor Speech Disorders,01,30740,0.4,0.3,0.3,0.1,0.4,0.3,0.4,0.3,0.5,0.5,0.3,0.4,0.4,0.3,0.4,0.2,0.3,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fine, Susan",Language Literacy in Practice,01,38800,0.0,0.1,0.2,0.0,-0.1,0.0,-0.1,0.1,-0.1,0.0,0.0,0.1,0.2,0.2,0.2,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laffan, Nicole",Lang Disorders in Children 2,01,33365,0.3,0.2,0.3,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.2,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meier, Erin",Spch-Lang Disorders Adults 1,01,33768,0.3,0.1,0.1,0.1,0.2,0.1,0.2,0.0,0.5,0.3,0.1,0.1,0.1,0.0,-0.1,0.0,0.0,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McDonough, Caren",Speech-Lang Pathology Clinic 1,01,30701,0.3,0.2,0.2,0.1,0.1,-0.1,0.0,-0.1,-0.5,-0.1,0.1,0.2,0.3,0.3,0.1,0.1,0.0,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Young-Hong, Sarah",Speech-Lang Pathology Clinic 1,01,30701,0.3,0.2,0.2,0.1,0.1,-0.1,0.0,-0.1,-0.5,-0.1,0.1,0.2,0.1,0.2,-0.1,0.1,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fine, Susan",Speech-Lang Pathology Clinic 2,01,30700,-0.1,-0.2,-0.1,0.0,-0.2,0.0,-0.4,0.0,-0.3,-0.3,0.0,-0.3,-0.1,0.1,0.1,0.1,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Elizabeth",Speech-Lang Pathology Clinic 4,02,36599,0.0,-0.4,-0.3,-0.2,0.2,0.1,-0.2,0.1,-0.1,-0.1,-0.3,-0.1,0.1,0.2,0.1,-0.1,-0.1,-0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goodell, Theodore",Museum of Fine Arts Studio,02,31047,-4.2,-4.1,-4.0,-4.5,-4.3,-4.3,-4.3,-4.3,-4.1,-4.3,-4.6,-4.3,-4.4,-4.4,-4.5,-4.3,-4.6,-4.6,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Weinstein, Liza",Sociology at NU,01,33997,0.7,0.9,1.0,0.3,0.5,0.7,0.6,0.4,0.3,0.5,0.4,0.7,0.6,0.4,0.6,0.6,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stocking, Corrine",Introduction to Sociology,02,39285,0.6,0.4,0.2,0.1,0.2,0.2,-0.9,0.2,-0.6,0.1,-0.4,-0.4,0.0,0.7,-0.2,-0.2,0.0,-0.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunt, Matthew",Introduction to Sociology,04,39286,0.0,0.1,0.2,0.1,0.1,0.1,0.3,-0.1,-0.1,0.0,0.3,0.4,0.3,0.1,0.0,0.1,0.3,-0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marshall, Gerardine",Introduction to Sociology,05,39289,-0.1,0.1,0.1,-0.2,-0.2,-0.2,-0.7,-0.4,-0.2,-0.5,-0.5,-0.4,-0.7,-0.5,-0.2,-0.4,-0.1,-0.3,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stocking, Corrine",Introduction to Sociology,06,39290,0.6,0.7,0.8,0.3,0.2,0.6,-0.1,0.8,0.7,0.7,0.1,0.4,0.2,0.9,0.3,0.0,0.2,-0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stocking, Corrine",Introduction to Sociology,07,39291,-0.3,-0.4,-0.2,-0.7,-0.2,-0.3,-0.4,-0.3,-0.5,-0.6,-0.4,-0.1,-0.7,-0.1,-0.7,-0.6,-0.7,-0.9,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stocking, Corrine",Introduction to Sociology,08,39292,0.2,-0.2,-0.2,-0.1,0.0,0.2,-0.9,-0.5,-0.1,-0.4,-0.8,-0.6,-0.2,0.4,-0.2,-0.2,-0.1,-0.5,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Getman, Rebekah",Introduction to Sociology,09,39293,0.4,0.3,0.4,0.0,0.1,0.2,-0.1,0.5,-0.1,0.0,0.2,0.3,0.2,0.5,0.2,0.4,0.3,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levy, Benjamin",Introduction to Sociology,10,39287,0.2,0.4,0.4,0.1,0.3,0.2,0.3,0.4,0.4,0.2,-0.1,-0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levy, Benjamin",Introduction to Sociology,11,39288,0.5,0.0,0.5,0.0,0.0,0.1,0.0,0.2,-0.2,0.0,0.2,-0.3,-0.2,0.3,0.2,0.3,0.4,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bishop, Judith","Sex, Gender, and Pop Culture",30,40667,0.0,-0.2,-0.1,0.1,0.0,0.0,0.3,0.1,0.1,0.2,0.0,0.3,0.2,0.0,0.1,-0.3,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunt, Matthew",Social Psychology,01,35046,0.3,-0.1,-0.3,0.0,0.3,0.3,0.3,-0.1,-0.1,0.0,0.1,0.3,0.3,0.0,-0.1,0.0,0.2,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominguez, Silvia",Sociology of Poverty,01,40368,-2.6,-2.4,-1.7,-0.4,-2.2,-1.3,-0.2,-0.4,-0.3,0.0,-1.9,-0.6,-1.4,-2.4,-1.4,-2.7,-0.8,-0.4,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faber, Daniel",Environment and Society,01,32755,-0.4,-1.0,-0.8,-0.2,-0.1,-0.2,0.3,-0.1,0.2,0.2,0.1,0.1,0.0,-0.3,0.0,-0.3,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Otis, Eileen",The 21st-Century Workplace,02,36255,-0.4,0.0,0.4,0.0,-0.2,0.0,0.1,-0.1,-0.7,-0.2,0.2,0.0,0.0,0.2,0.3,0.0,0.0,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ward, Kayleigh",Research Methods in Sociology,01,30246,0.5,0.7,0.4,0.1,0.3,0.2,0.5,0.6,0.5,0.2,0.4,0.7,0.6,0.9,0.6,0.6,0.5,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santos, Gabriel",Ethnographic Methods,01,39820,0.2,-0.4,-0.3,-0.2,0.3,0.2,-0.2,-0.3,-0.5,-0.3,0.2,-0.3,-0.1,-0.1,0.1,-0.1,0.0,0.1,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lee, Matthew",Race Identity Soc Change Empw,01,36256,-0.3,0.6,0.6,0.3,-0.6,-0.3,-0.3,-0.4,0.0,0.1,0.1,-0.3,-0.3,-0.1,-0.5,-0.4,-0.5,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominguez, Silvia",Current Iss in Cities/Suburbs,01,39324,-1.9,-1.6,-1.8,-0.3,-1.9,-1.2,-1.1,-1.1,-1.1,-0.6,-1.2,-1.0,-1.2,-1.5,-1.5,-1.4,-0.7,-0.3,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez, Isabel",Latinx Youthhood in the US,01,39294,0.2,0.2,0.3,-0.4,-0.1,-0.1,0.2,0.3,0.4,0.1,-0.2,0.1,0.0,0.3,0.0,0.0,-0.1,-0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Horgan, Leah","Environment, Tech  Society",01,39295,0.5,-0.1,0.3,0.3,0.3,0.4,-0.4,0.4,-0.2,0.0,0.2,-0.1,-0.2,-0.1,-0.4,0.3,0.3,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joseph, Tiffany",Race and Global Human Mobility,01,39269,-1.0,-1.1,-1.0,0.0,0.1,-0.3,0.6,0.1,0.0,0.3,0.2,0.5,0.0,0.3,0.4,0.0,-0.1,0.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez, Ramiro",Violence and Society,01,39296,-0.8,-0.1,0.0,-0.2,-0.3,-0.3,-0.9,-0.1,-0.8,-0.8,-0.8,-1.3,-0.9,0.4,0.1,-0.2,0.2,0.0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hernandez, Mario","Race, Ethnicity,  Inequality",30,41588,-1.3,-1.1,-1.0,-0.6,-0.9,-0.8,-0.9,-0.8,-1.1,-1.4,-0.8,-0.7,-1.4,-1.2,-1.5,-0.9,-1.1,-1.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blum, Linda",Social Theory,31,39298,0.2,-0.2,-0.1,0.0,-0.4,0.1,0.1,-0.1,0.4,0.2,0.0,-0.1,-0.2,0.1,-0.6,0.1,-1.1,0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Faber, Daniel","Class, Power  Social Change",01,34001,-0.5,-1.1,-1.0,0.3,0.0,0.2,-0.2,-0.1,0.3,-1.0,-0.6,-0.8,-0.6,-0.6,0.4,-0.1,-0.5,-0.2,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martinez, Isabel",Sociology of Education,01,39300,0.0,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.2,-0.1,-0.1,-0.2,0.6,0.6,0.6,0.5,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabrenovic, Gordana",Senior Seminar,02,32706,-0.1,-0.3,-0.2,0.1,-0.5,-0.5,-0.8,0.1,0.6,-0.3,-0.6,-0.7,0.0,0.5,0.2,0.6,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Otis, Eileen",Foundations of Social Theory 2,01,30673,0.2,0.9,0.0,-0.2,0.0,0.0,0.0,0.1,0.8,0.0,-0.1,0.4,-0.6,0.4,-0.2,0.3,-0.2,0.1,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moghadam, Valentine",Global/Develop/Social Justice,01,35048,-0.3,-0.1,0.0,-0.2,-0.5,0.0,0.3,-0.1,0.8,0.5,-0.1,0.0,-0.6,-0.6,-0.4,-0.4,-0.5,-0.2,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golubovic, Jelena",Sociology of Prejudice  Vlnce,01,39301,0.0,0.4,0.4,-0.1,-0.1,-0.2,0.0,-0.5,0.0,-0.1,-0.3,-0.5,-0.4,-0.1,-0.2,0.2,0.2,0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lincoln, Alisa",Sociology of Health  Illness,01,39650,-0.6,0.9,1.0,0.0,-0.2,0.4,0.3,0.2,0.5,0.2,0.1,0.4,0.1,0.2,-0.1,0.1,0.3,0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sokol, Claudia",Elementary Spanish 1,01,30060,0.2,0.4,0.3,0.1,0.1,0.1,-0.5,-0.2,0.0,0.0,-0.1,-0.3,0.1,0.1,0.1,0.0,0.1,0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sokol, Claudia",Elementary Spanish 1,02,30025,-0.5,-1.2,-0.7,-0.4,-0.5,-0.3,-0.9,-0.2,-0.9,-0.9,-0.7,-1.2,-0.7,-0.5,-0.3,-0.5,-0.4,-0.4,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muino, Tania",Elementary Spanish 1,03,30059,-0.5,-0.5,-1.0,-0.4,-0.4,-0.4,-0.6,-0.5,-0.5,-0.8,-0.4,-0.3,-0.6,-0.6,-0.6,-0.4,-0.4,-0.2,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basterretxea Santiso, Gorka",Elementary Spanish 2,01,30058,-0.1,-0.5,-0.5,-0.1,-0.1,-0.3,-0.1,-0.4,-0.1,0.1,0.1,-0.2,-0.4,-0.2,-0.2,-0.3,-0.5,0.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basterretxea Santiso, Gorka",Elementary Spanish 2,02,30057,0.2,-0.1,-0.3,0.2,0.2,0.1,0.1,-0.2,0.3,-0.1,0.2,0.2,-0.1,-0.1,0.0,-0.4,0.1,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sandell, Kallie",Elementary Spanish 2,03,36140,0.4,0.5,0.5,0.2,0.3,0.3,0.3,0.5,0.5,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canavan, Yanet",Intermediate Spanish 1,01,30056,0.2,0.3,0.3,0.1,0.1,0.2,0.3,0.0,-0.1,0.0,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canavan, Yanet",Intermediate Spanish 1,02,34691,0.1,0.2,0.2,0.0,0.1,0.3,0.2,0.1,0.3,-0.1,0.2,0.3,0.2,0.2,0.3,-0.1,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agostinelli-Fucile, Christina",Intermediate Spanish 1,03,36141,0.4,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.5,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muino, Tania",Intermediate Spanish 2,01,30055,-0.5,-0.8,-1.1,0.1,-0.1,-0.7,-0.7,-0.6,0.0,-0.4,-0.2,-0.2,-0.7,-0.8,-0.6,-0.4,0.0,-0.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perez-Arranz, Cristina",Intermediate Spanish 2,02,31295,0.3,0.4,0.4,0.2,0.2,0.2,0.1,0.4,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muino, Tania",Intermediate Spanish 2,03,32358,0.2,0.3,-0.5,0.0,0.1,-0.2,0.0,0.3,-0.2,-0.2,-0.3,0.1,-0.2,-0.4,-0.7,0.1,0.0,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuenca, Daniel",Adv Spanish 1: Borders,01,30066,0.4,0.5,0.3,0.2,0.3,0.1,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.1,0.3,0.3,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuenca, Daniel",Adv Spanish 1: Borders,02,30031,0.4,0.4,0.5,0.2,0.2,0.3,0.2,0.5,0.1,0.3,0.2,0.3,0.3,0.3,0.3,0.1,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canavan, Yanet",Adv Spanish 1: Borders,03,34334,-0.1,-0.2,-0.2,-0.2,-0.1,-0.4,-0.4,-0.4,-0.4,-0.4,0.2,0.0,0.2,0.3,0.3,0.1,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agostinelli-Fucile, Christina",Adv Span 2: Hispanic Identity,02,32351,0.3,0.3,0.3,0.2,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.0,-0.1,0.1,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sokol, Claudia",Spanish for Healthcare 1,01,36142,-0.7,-0.4,-0.1,0.0,-0.2,-0.1,0.0,0.2,0.1,0.2,0.0,0.0,-0.1,0.1,0.1,-0.3,0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agostinelli-Fucile, Christina",Authentic Spanish Grammar,01,36143,0.2,0.4,-0.1,0.2,0.3,0.3,0.3,0.1,0.1,-0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Basterretxea Santiso, Gorka",ST Spanish Linguistics,01,39461,-0.3,-0.5,-0.5,-0.1,0.0,0.1,-0.2,-0.5,0.0,0.0,0.0,0.1,0.0,-0.4,0.0,-0.2,-0.3,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Joyce, Theodore",Strategic Analysis  Decision,01,32884,-0.4,0.2,0.1,0.1,-0.1,0.0,-0.1,-0.2,-0.3,-0.2,0.1,-0.3,0.5,0.0,0.1,-0.1,0.4,0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masiello, Diletta",Strategy in Action,01,30363,-0.5,-0.5,-0.7,-0.2,-1.0,-0.8,-1.1,-0.9,-0.7,-0.8,-1.2,-0.8,-1.0,-1.1,-0.8,-0.7,-1.0,-1.1,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enright, Michael",Strategy in Action,02,30361,-0.1,-0.4,-0.4,-0.3,-0.3,-0.2,-0.1,-0.1,0.6,0.0,0.0,0.1,-0.1,-0.1,-0.4,-0.3,-0.5,-0.1,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cuervo-Cazurra, Alvaro",Strategy in Action,03,30360,0.1,0.2,0.2,0.0,0.0,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.2,0.2,0.2,-0.1,0.2,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchiori Pacheco, Larissa",Strategy in Action,04,30359,0.4,0.4,0.4,0.1,0.5,0.5,0.4,0.6,0.5,0.4,0.3,0.5,0.5,0.5,0.2,0.3,0.3,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchiori Pacheco, Larissa",Strategy in Action,05,30358,,,,,,,,,,-0.5,,,,,,,,,,-0.1,-0.4,-0.5,-0.3,-0.2,-0.2,-0.2,0.0,-0.3,-0.6,0.0,-0.1,0.0,0.0,-0.1,-0.3,-0.1,-0.3,-0.2,0.0,0.2,-0.2,-0.2,0.2,-0.1,-0.1,0.1,-0.2
"De Los Reyes, Gaston",Strategy in Action,06,30357,0.0,0.2,0.0,0.2,0.2,0.0,0.0,-0.1,0.4,-0.1,0.2,0.0,-0.4,-0.1,-0.2,0.2,0.1,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Los Reyes, Gaston",Strategy in Action,07,31993,0.2,0.1,-0.2,0.1,0.2,-0.1,0.1,0.0,0.3,-0.1,0.1,0.0,-0.1,0.2,0.1,0.2,0.1,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Masiello, Diletta",Strategy in Action,08,31364,-2.1,-2.4,-2.2,-0.9,-2.5,-2.4,-2.4,-1.9,-2.5,-2.2,-3.0,-2.5,-1.9,-2.8,-2.4,-2.1,-1.5,-1.9,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"De Los Reyes, Gaston",Strategy in Action,09,31594,0.3,0.3,0.0,0.0,0.2,0.0,0.2,0.1,0.5,0.1,0.2,0.3,0.0,0.1,0.1,0.1,0.2,0.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baraldi Borgida, Monica",Strategy in Action,10,31806,0.0,0.0,-0.1,-0.1,0.0,-0.2,-0.6,-0.3,-0.8,-0.7,-0.3,-0.5,-0.3,-0.1,-0.1,0.1,0.2,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCullough, Robert",Strategy in Action,11,31912,0.2,0.5,0.4,0.1,0.2,0.1,0.4,0.0,0.0,0.0,0.2,0.0,0.0,-0.1,0.1,0.2,0.0,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enright, Michael",Strategy in Action,12,32014,0.1,0.1,-0.2,0.0,-0.1,0.0,0.0,0.1,0.4,0.1,0.2,0.0,0.0,-0.4,-0.4,-0.4,-0.3,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Marchiori Pacheco, Larissa",Strategy in Action,13,32035,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.2,0.1,0.1,0.1,0.4,0.3,0.2,0.3,0.2,0.3,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qiao, Kunyuan",Strategy in Action,14,32064,0.7,0.7,0.7,0.3,0.5,0.6,0.6,0.6,0.3,0.5,0.4,0.6,0.6,0.8,0.7,0.5,0.4,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ferrer Morera, Gloria",Strategy in Action,15,33495,-0.1,-0.2,-0.2,-0.1,0.0,0.0,-0.2,-0.3,0.1,-0.1,-0.1,0.2,-0.1,-0.3,-0.1,-0.3,0.0,-0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woo, William",Strategy in Action,16,34346,-0.5,-0.8,-1.0,-0.3,-0.5,-0.5,-0.4,-0.5,-0.1,-0.4,-0.2,-0.2,-0.5,-0.8,-0.6,-0.8,-0.3,-0.6,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lamin, Anna",Strategy in Action,17,35630,,,,,,,,,,0.0,,,,,,,,,,-0.4,-0.4,-0.2,-0.5,-0.2,-0.7,-0.2,0.3,-0.2,0.0,-0.5,0.0,-0.6,-0.1,-0.1,-0.3,-0.8,0.1,-0.7,-0.2,-0.6,-0.6,-1.2,-0.7,-0.5,-0.6,-0.1,-0.3
"Moore, Elizabeth",Strategy in Action,18,41163,0.5,0.8,0.8,0.2,0.2,0.0,0.5,0.2,0.2,0.2,0.4,0.6,0.4,0.4,0.0,0.4,0.4,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Elizabeth",Strategy in Action,19,41482,,,,,,,,,,0.2,,,,,,,,,,0.2,0.3,0.1,0.0,0.2,0.1,0.2,0.1,0.3,0.5,0.5,0.2,0.5,0.1,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,-0.1,0.2,0.0,0.1,0.1
"Marchiori Pacheco, Larissa",Strategic Decision Making,01,30927,-0.6,-0.1,-0.3,-0.2,-0.3,-0.4,0.1,-0.1,-0.1,0.0,-0.1,0.0,-0.2,-0.1,-0.1,0.1,0.2,0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enright, Michael",Strategic Decision Making,02,30929,0.1,0.1,0.1,0.1,0.0,0.1,0.3,0.3,0.6,0.3,0.2,0.2,0.4,0.3,0.2,0.1,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huselid, Mark",Workforce Metrics  Analytics,01,40249,-0.7,0.2,-0.2,0.0,-0.3,-0.4,-0.7,-0.4,-0.3,-0.8,0.0,-0.7,0.0,0.2,0.4,0.3,0.3,0.2,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Young, Gary",Strat Mgmt for Healthcare Org,01,31988,-0.3,0.3,0.3,0.1,0.4,0.2,0.2,-0.2,0.1,0.2,0.4,0.7,0.2,0.3,0.5,0.3,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Menendez, Jose",Implement/Visualize Urb Env 2,01,31453,0.2,0.8,0.5,0.3,0.5,0.5,0.3,0.5,-0.1,0.2,0.4,0.0,0.3,0.4,0.4,0.6,0.3,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santi, Ettore",Resrch Studio: Master Project,01,31658,0.6,0.9,1.0,0.5,0.6,0.6,0.8,0.8,0.8,0.7,0.5,0.7,0.6,0.7,0.2,0.7,0.4,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodriguez, Judith",Urban Ecologies  Tech 2,01,31659,-0.2,-0.3,0.0,-0.2,-0.3,-0.4,-0.1,0.3,-0.3,-0.2,-0.5,-1.2,-0.7,-0.3,0.0,0.3,0.0,0.0,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Nicholas",Pro-Seminar,01,31660,0.5,0.6,0.7,0.3,0.0,0.5,0.6,0.7,0.5,0.5,0.3,0.2,0.2,0.5,0.1,0.5,0.4,0.3,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shridhar, Rajiv",Data Networking,01,31705,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shridhar, Rajiv",Data Networking,02,40815,-0.2,0.1,0.1,-0.2,-0.2,-0.2,-0.2,0.0,0.3,0.0,-0.3,0.0,0.0,-0.4,-0.5,-0.2,-0.3,-0.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shridhar, Rajiv",Lab for TELE 5330,01,31706,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.6,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.4,0.4,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shridhar, Rajiv",Lab for TELE 5330,02,40816,-1.9,-1.8,-1.9,-1.5,-1.8,-1.9,-2.2,-0.7,-0.4,-0.8,-2.3,-2.2,-2.5,-2.2,-2.2,-1.2,-1.6,-2.1,-1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O'Reilly, Peter",Telecom/Network Infrastructure,01,33488,0.5,0.2,0.4,0.3,0.1,0.0,0.2,0.1,0.2,0.1,0.0,0.1,0.1,0.2,0.1,0.2,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
