Instructor,Course Title,Section,Course ID,Online course materials were organized to help me navigate th…,Online interactions with my instructor created a sense of conne…,Online course interactions created a sense of community and…,I had the necessary computer skills and technology to success…,The syllabus was accurate and helpful in delineating expectati…,Required and additional course materials were helpful in achie…,In-class sessions were helpful for learning.,Out-of-class assignments and/or fieldwork were helpful for lear…,This course was intellectually challenging.,I learned a lot in this course.,The instructor came to class prepared to teach.,The instructor used class time effectively.,The instructor clearly communicated ideas and information.,The instructor provided sufficient feedback.,The instructor fairly evaluated my performance.,The instructor was available to assist students outside of class.,The instructor facilitated a respectful and inclusive learning env…,The instructor displayed enthusiasm for the course.,What is your overall rating of this instructor's teaching effective…,The Syllabus Provided a clear description of course goals and…,The textbook(s) helped me to learn.,"The materials used in this course (lectures, videos, ect.) were…",The assignments and fieldwork helped me to learn.,The lectures helped me to learn.,The course discussions and activities helped me to learn.,The technology used in this course helped me to learn,I found this course intellectually challenging.,I would recommend this course to other students.,I learned to apply course concepts and principles.,I developed additional communication skills in this course.,"I learned to analyze and evaluate ideas, arguments, and points…",Working with my classmates in this course helped me to learn.,I had the necessary technological skills for this course.,Technical support was available when needed.,The amount of interaction with the lead instructor met my learn…,The lead instructor clearly communicated ideas and information.,The lead instructor demonstrated expertise in the subject matter.,The lead instructor clearly stated the objectives of the course.,The lead instructor covered material stated in the course objec…,The section instructor fairly evaluated my performance.,The section instructor provided feedback that was timely and v…,I would recommend this section instructor to other students.,The section instructor treated students with respect.,The section instructor acknowledged and took effective action…,The section instructor was able to address my content questio…,The section instructor displayed enthusiasm for the course.,The amount of interaction with my section instructor met my le…,The work we did in the laboratory course helped me to perform…,The work we did in the lecture course helped me to perform be…,The undergraduate teaching fellow (undergraduate teaching a…,If this course had teaching assistants that held regular office h…,I was able to follow the pace of the lecture and understood the…,The grading of quizzes and case studies was fair.,I felt comfortable to ask questions. I felt comfortable to voice cr…,The real-life anecdotes and hands-on experience and insights…
"Colston, Tobey",Lab for CHEM 1161,305,20684,-1.8,-1.5,-1.4,-2.0,-1.4,0.2,0.3,-0.2,-0.4,-1.2,-0.6,0.1,-0.1,-1.5,-0.8,-0.8,-0.5,-0.5,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hackshaw, Estelleta",Lab for CHEM 1161,31,15301,0.4,-0.1,0.0,0.6,-0.2,-0.1,0.8,0.0,0.2,0.4,-0.2,0.4,-0.1,0.6,0.3,0.1,0.3,-0.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hackshaw, Estelleta",Lab for CHEM 1161,32,15302,0.2,0.0,0.1,-1.5,-0.9,-0.3,-0.2,-0.7,-0.4,0.3,-0.6,-0.4,-0.6,-1.0,-0.8,-0.3,-0.5,-0.5,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pathira Kankanamge, Lakindu",Lab for CHEM 1161,35,15304,-3.8,-2.5,-2.4,-4.0,-4.4,-4.3,-4.2,-4.2,-4.4,-4.2,-4.6,-4.4,-4.1,-4.0,-4.3,-4.3,-4.5,-4.5,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pathira Kankanamge, Lakindu",Lab for CHEM 1161,36,15306,-0.3,-2.5,-2.4,0.5,-0.4,-0.8,0.3,-0.7,0.1,-0.2,-0.1,0.1,0.4,-2.0,0.2,-1.8,-1.0,-1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pathira Kankanamge, Lakindu",Lab for CHEM 1161,46,17458,-3.1,-1.8,-1.7,-3.0,-1.1,-1.0,0.5,-0.9,-0.7,-1.2,-1.9,-1.7,-1.8,-1.7,-0.6,-2.3,-0.8,-1.5,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Val, Vinou",Lab for CHEM 1161,51,17463,0.0,0.0,0.1,-0.7,0.1,0.2,0.6,0.3,0.1,0.5,0.4,0.6,0.6,0.8,0.4,0.5,0.3,-0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Val, Vinou",Lab for CHEM 1161,52,17464,-0.6,-0.3,-0.4,-0.6,-0.4,-0.3,0.0,-0.4,-0.4,0.0,-0.2,0.0,0.1,0.2,-0.7,-0.1,-0.3,-1.3,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Judene",Recitation for CHEM 1161,01,13931,0.3,0.7,0.8,0.5,-0.2,-0.2,-0.6,-0.7,-0.8,-0.6,0.0,-0.2,-0.2,0.2,-0.1,0.1,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ojeda, Monica",Recitation for CHEM 1161,02,13465,0.5,-0.4,0.0,0.6,-0.2,0.0,0.2,-0.3,-0.8,-0.5,-0.4,-0.2,0.3,0.2,0.1,-0.4,0.0,-0.2,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Judene",Recitation for CHEM 1161,03,13466,0.0,0.5,0.6,0.3,-0.4,-0.3,-0.7,-1.2,-0.6,-0.4,-1.1,-0.9,-0.3,-0.5,-0.8,-0.5,-0.5,-1.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poisson, Katherine",Recitation for CHEM 1161,04,13467,-0.4,1.0,1.0,-0.2,0.0,0.1,0.7,0.3,0.2,0.6,0.2,0.2,0.7,0.8,0.7,0.3,0.4,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genchev, Jasmyn",Recitation for CHEM 1161,05,13468,-1.0,-0.5,-0.4,-1.2,-0.1,-0.3,0.6,-0.2,-0.1,0.5,0.2,0.1,0.7,0.3,0.0,0.2,0.3,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ojeda, Monica",Recitation for CHEM 1161,06,13932,0.4,0.5,0.6,0.4,-0.4,-0.1,0.2,0.4,-0.8,-0.2,0.0,-0.2,-0.1,0.2,0.3,-0.1,-0.1,-0.1,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genchev, Jasmyn",Recitation for CHEM 1161,07,13469,0.0,0.6,0.5,0.5,-0.1,-0.1,0.0,-0.3,-0.3,-0.3,0.1,0.1,0.4,0.5,0.3,0.4,0.2,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre, Petit",Recitation for CHEM 1161,08,14211,0.4,0.7,0.8,0.4,0.2,0.4,0.5,0.2,-0.2,0.3,-0.1,-0.3,0.2,0.3,0.5,0.3,0.2,-0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre, Petit",Recitation for CHEM 1161,09,14210,-1.4,-1.4,-1.3,-1.7,0.4,0.2,0.3,0.1,0.0,-0.1,0.0,-0.3,0.2,0.4,0.6,0.2,0.4,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genchev, Jasmyn",Recitation for CHEM 1161,10,15325,-0.5,-0.7,-0.8,-0.1,-0.1,0.2,0.5,0.3,-0.3,0.1,0.2,0.4,0.4,0.5,0.1,0.1,0.3,-0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Genchev, Jasmyn",Recitation for CHEM 1161,11,15326,0.2,-0.1,-0.2,0.0,0.3,0.2,0.4,-0.2,-0.1,0.1,0.3,0.4,0.7,0.8,0.5,0.4,0.4,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poisson, Katherine",Recitation for CHEM 1161,15,17551,-1.8,0.8,-0.3,-0.4,0.3,0.6,0.7,0.1,-0.4,0.2,0.0,0.5,0.8,0.6,0.3,0.6,0.5,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poisson, Katherine",Recitation for CHEM 1161,16,17566,-1.4,0.3,0.3,-0.8,0.2,-0.3,0.6,-0.3,-0.4,0.1,0.3,0.5,0.8,0.7,0.3,0.5,0.4,0.3,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poisson, Katherine",Recitation for CHEM 1161,20,18052,-2.4,-1.4,-1.0,-1.2,-0.2,-0.1,0.3,-0.1,-0.4,-0.3,0.1,0.1,0.4,0.6,0.3,0.3,0.4,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thomas, Judene",Recitation for CHEM 1161,21,18219,-0.4,-0.4,-0.4,-0.5,-0.5,-0.1,-0.1,-0.4,-0.8,-0.4,0.0,-0.5,0.0,0.1,-0.4,0.2,-0.1,-0.3,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DePasquale, Joseph",Recitation for CHEM 1161,22,18995,1.2,0.8,0.9,-0.7,0.6,0.7,0.8,0.8,0.3,0.1,0.4,0.6,0.9,1.0,0.7,0.7,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Witten, Edward",General Chemistry 1,01,10208,-0.3,0.0,0.0,-0.3,-0.1,0.3,-0.1,0.2,0.0,0.1,0.1,0.0,0.2,-0.1,0.1,-0.3,0.1,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Val, Vinou",Lab for CHEM 1211,01,10207,-0.4,-1.4,-1.3,0.3,0.4,0.1,0.6,0.2,-0.1,0.1,0.3,0.6,0.7,0.9,0.1,0.3,0.2,0.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Val, Vinou",Lab for CHEM 1211,02,10204,-1.0,-0.5,-0.4,-0.2,0.4,0.0,0.3,-0.4,0.1,-0.2,0.4,0.6,0.2,0.8,-0.3,0.0,0.0,-0.5,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hackshaw, Estelleta",Lab for CHEM 1211,22,10023,-1.3,-2.5,-2.4,-1.5,0.6,0.7,0.8,0.3,-0.4,0.3,0.4,0.6,0.9,1.0,0.7,0.7,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hackshaw, Estelleta",Lab for CHEM 1211,30,11223,-0.8,-0.2,-0.1,-1.0,0.4,0.7,0.6,0.6,0.4,0.8,0.2,0.6,0.6,0.8,0.5,0.7,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hackshaw, Estelleta",Lab for CHEM 1211,32,11224,0.0,0.5,-0.1,-0.2,0.6,0.5,0.8,0.6,-0.1,0.3,0.4,0.6,0.9,1.0,0.7,0.7,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hackshaw, Estelleta",Lab for CHEM 1211,54,13302,1.2,2.5,2.6,1.0,0.6,0.7,0.8,-0.2,0.1,0.8,0.4,0.6,-0.6,1.0,0.7,0.7,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre, Petit",Recitation for CHEM 1211,04,10299,-0.8,0.5,0.6,-1.0,0.4,0.5,0.6,0.2,-0.4,0.6,0.2,0.4,0.7,0.8,0.5,0.5,0.3,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ojeda, Monica",Recitation for CHEM 1211,13,10008,-0.3,0.3,0.4,0.5,-0.3,-0.3,0.2,0.1,-0.4,0.2,-0.1,0.1,0.3,0.0,0.3,0.2,0.1,0.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pierre, Petit",Recitation for CHEM 1211,14,10238,0.2,1.5,1.6,0.7,-0.1,0.0,0.5,0.1,-0.4,0.1,-0.3,-0.1,0.2,0.7,0.4,0.4,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lykourinou, Vasiliki",General Chemistry 2,01,10530,0.2,1.2,0.9,0.5,-0.1,0.0,-0.8,-0.4,0.0,0.0,-0.3,-0.4,-0.5,-0.2,0.1,0.5,0.2,0.0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pathira Kankanamge, Lakindu",Lab for CHEM 1214,01,10532,-0.8,0.0,0.1,-0.5,-0.6,-0.5,-0.7,-0.9,-0.6,-0.9,-1.6,-1.9,-1.3,-1.5,-1.3,-1.5,-1.7,-1.7,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Val, Vinou",Lab for CHEM 1214,02,10533,-1.8,-1.9,-1.8,-0.4,0.2,-0.1,0.2,-0.6,-0.8,0.0,0.0,0.0,0.3,0.0,0.5,-0.1,-0.1,-0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micheloni, Emily",Recitation for CHEM 1214,01,10534,-1.5,-1.2,-1.1,-1.3,-0.7,-0.3,-0.2,-0.2,-0.7,-0.5,-0.6,-0.4,-0.8,-0.3,-0.6,-0.6,-0.8,-0.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micheloni, Emily",Recitation for CHEM 1214,02,10003,0.2,-0.5,-0.4,0.5,0.4,0.7,0.8,0.3,0.1,0.6,0.4,0.6,0.9,1.0,0.7,0.5,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DePasquale, Joseph",Concepts in Chemistry,01,13936,0.7,-0.4,-0.6,0.3,0.3,-0.2,0.1,0.0,-0.3,-0.4,0.2,-0.3,0.2,0.1,-0.1,0.2,-0.3,-0.2,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labrie, Gregory",Lab for CHEM 2161,01,13937,1.2,0.5,-2.4,1.0,0.6,0.7,0.5,0.1,0.3,0.5,0.4,0.6,0.9,1.0,0.7,0.7,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DePasquale, Joseph",Lab for CHEM 2161,01,13937,1.2,0.5,-2.4,1.0,0.6,0.7,0.5,0.1,0.3,0.5,-0.9,-0.7,-0.1,-0.3,-0.6,-0.3,-0.5,-0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labrie, Gregory",Lab for CHEM 2161,02,20357,-0.1,-0.1,-0.2,-0.3,0.5,0.3,0.5,-0.3,-0.3,-0.3,0.3,0.5,0.8,0.8,0.6,0.5,0.4,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DePasquale, Joseph",Lab for CHEM 2161,02,20357,-0.1,-0.1,-0.2,-0.3,0.5,0.3,0.5,-0.3,-0.3,-0.3,0.2,0.4,0.7,0.7,0.4,0.4,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DePasquale, Joseph",Recitation for CHEM 2161,01,13938,-1.5,-2.2,-2.4,-3.2,0.0,0.1,0.6,0.6,0.4,0.6,0.4,0.2,0.7,0.4,0.1,0.3,-0.1,-0.1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mathews, Jude",Organic Chemistry1,01,10199,0.3,0.8,0.6,0.2,0.3,0.4,0.6,0.5,0.5,0.6,0.2,0.4,0.6,0.1,0.1,0.0,-0.2,0.1,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Danahy, Kelley",Organic Chemistry1,02,20554,0.1,-0.7,-0.6,-0.1,0.1,-0.1,-0.1,0.0,0.4,0.1,0.0,0.0,-0.3,-0.2,-0.2,0.1,0.0,0.0,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fulton, Brian",Organic Chemistry1,04,10529,-0.3,-0.2,-0.3,0.1,-0.5,-0.3,-1.6,-0.5,0.1,-0.5,-0.7,-1.1,-1.2,-1.0,-0.5,-0.5,-0.7,-1.3,-1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lopez, Steven",Organic Chemistry1,05,11403,0.1,-0.1,-0.2,0.2,-0.1,-0.4,-0.7,-0.2,0.4,-0.1,-0.2,-0.5,-0.7,-0.8,-0.5,-0.5,-0.2,0.1,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armendarez, Olivia",Lab for CHEM 2311,02,10195,0.6,0.8,0.9,0.4,0.6,0.5,0.8,0.5,0.0,0.6,0.4,0.6,0.9,0.8,0.5,0.5,0.4,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnsley, Kelly",Lab for CHEM 2311,03,14208,1.0,0.8,0.9,0.8,0.4,0.5,0.6,0.6,0.3,0.6,0.2,0.4,0.7,0.7,0.5,0.5,0.3,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Jiachen",Lab for CHEM 2311,04,10194,-1.1,0.2,0.3,-1.0,-0.1,0.0,0.1,0.1,-0.1,0.1,0.4,0.6,0.6,0.7,0.7,-0.3,0.5,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Tingyu",Lab for CHEM 2311,05,10192,0.0,-1.2,-1.1,-1.5,0.4,0.7,0.8,-0.2,-1.1,-0.2,0.4,0.6,0.7,0.8,0.7,-0.3,0.5,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Jiachen",Lab for CHEM 2311,06,10579,0.0,0.3,0.4,-0.2,0.2,-0.5,0.8,0.6,0.4,0.6,0.4,0.6,0.7,1.0,0.7,-0.1,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Jiachen",Lab for CHEM 2311,07,10931,0.2,0.4,0.2,-0.7,-0.1,-0.2,0.5,-0.5,-0.7,-0.2,0.3,0.5,0.8,-0.9,-0.3,-0.7,0.1,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diagne, Khaly",Lab for CHEM 2311,08,10191,-0.3,-0.2,-1.1,-0.2,0.1,-0.3,0.8,0.1,-0.1,0.1,-0.1,0.1,0.4,-0.2,0.5,-0.5,0.3,-0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Jiachen",Lab for CHEM 2311,09,10932,-0.8,-0.8,-0.7,0.7,-0.1,-0.3,0.1,-0.2,-0.7,-0.5,-0.3,-0.1,0.2,0.0,0.0,-0.3,-0.2,-0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnsley, Kelly",Lab for CHEM 2311,10,10189,0.2,0.2,0.3,-1.3,-1.1,-1.0,-0.5,-1.2,-1.1,-0.9,-0.6,-0.1,-0.4,0.7,0.4,0.0,-0.2,-0.5,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armendarez, Olivia",Lab for CHEM 2311,11,10188,-0.7,-0.2,-0.7,-0.3,0.2,0.1,0.5,0.2,-0.3,0.2,0.0,0.2,0.5,0.4,0.1,-0.2,0.1,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armendarez, Olivia",Lab for CHEM 2311,12,10187,0.9,0.4,0.2,0.6,0.2,0.4,0.5,-0.2,-0.7,0.2,0.3,0.5,0.6,0.3,0.1,0.4,0.2,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,13,10933,1.0,2.3,2.4,0.8,0.4,0.5,0.6,0.6,0.4,0.5,0.2,0.4,0.7,0.8,0.5,0.5,0.3,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shafique, Atif",Lab for CHEM 2311,14,10934,0.5,0.8,0.9,0.3,-1.4,-1.3,-0.2,-0.5,-1.4,-0.5,-0.6,-0.1,-0.4,-1.3,-1.3,-1.3,-1.2,-1.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Jiachen",Lab for CHEM 2311,15,10186,0.0,1.3,1.4,-0.2,0.4,0.7,0.6,0.4,0.0,-0.2,0.2,0.2,0.5,0.4,0.5,-0.1,0.3,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armendarez, Olivia",Lab for CHEM 2311,16,10935,-0.5,-0.8,-0.7,0.0,0.6,0.7,0.8,0.5,-0.1,0.6,0.4,0.6,0.9,1.0,0.7,0.7,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armendarez, Olivia",Lab for CHEM 2311,18,10173,1.2,0.8,-0.1,1.0,0.3,0.4,0.1,-0.5,-1.4,-0.9,0.4,0.6,0.9,0.7,0.7,0.4,0.2,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shafique, Atif",Lab for CHEM 2311,20,10527,0.0,1.3,1.4,0.0,0.1,0.0,-0.2,-0.2,-0.6,-0.4,-0.8,-0.4,-0.3,0.0,0.0,-0.3,-0.5,-0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,23,10015,1.2,1.3,1.2,1.0,0.6,0.5,0.8,0.6,0.4,0.8,0.4,0.6,0.7,0.8,0.7,0.5,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,24,10936,0.2,0.5,0.6,0.0,-0.4,-0.3,0.8,-0.2,-0.4,-0.2,0.4,0.6,-0.1,0.0,0.7,-0.3,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Tingyu",Lab for CHEM 2311,25,13688,-1.1,0.2,0.3,0.3,-0.1,-1.0,0.1,0.1,-0.4,0.1,-0.3,-0.1,0.2,0.3,0.0,0.0,-0.2,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Tingyu",Lab for CHEM 2311,26,13689,0.5,-0.6,-0.5,0.3,0.3,-0.3,0.7,0.0,-0.2,0.0,0.4,0.6,0.6,0.7,0.7,-0.1,0.3,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diagne, Khaly",Lab for CHEM 2311,27,10998,-0.3,-0.2,-0.1,0.8,0.1,0.2,0.6,0.1,-0.1,0.3,0.2,0.4,0.7,0.8,0.5,0.5,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barnsley, Kelly",Lab for CHEM 2311,30,14209,0.4,1.3,0.6,0.8,0.2,0.3,0.6,0.4,0.0,0.2,-0.2,0.6,0.7,-0.2,0.3,0.3,0.5,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,301,20824,1.2,-0.5,-0.6,1.0,0.3,-0.1,0.3,0.3,-0.7,-0.2,0.4,0.6,0.2,0.3,0.2,-0.3,0.2,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,302,20825,1.2,-1.0,-0.9,0.5,0.6,-0.3,0.8,-0.7,-0.9,0.3,0.4,0.6,0.4,0.5,0.2,-0.3,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,303,20826,0.9,0.8,0.9,0.7,0.6,0.7,0.8,0.8,-0.1,0.5,0.4,0.6,0.6,1.0,0.7,0.7,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,304,20827,1.2,2.5,2.6,1.0,-0.4,-0.3,0.8,0.8,-1.4,-0.2,0.4,0.6,0.9,-1.0,0.7,-0.3,0.5,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Tingyu",Lab for CHEM 2311,32,10999,0.7,0.3,-0.1,0.3,0.1,-0.3,0.6,-0.4,-0.4,0.1,-0.1,0.4,-0.1,0.0,0.0,-0.8,0.0,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Armendarez, Olivia",Lab for CHEM 2311,36,13307,1.0,0.8,0.9,0.8,0.4,0.5,0.6,0.3,0.1,0.6,0.2,0.4,0.7,0.5,0.5,0.5,0.3,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chang, Wei-Ting",Lab for CHEM 2311,39,13308,1.0,1.3,2.2,0.8,0.4,0.5,0.4,0.4,-0.2,0.4,0.2,0.4,0.7,0.8,0.5,0.5,0.3,0.3,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lin, Jiachen",Lab for CHEM 2311,42,13296,0.5,-1.2,-1.1,1.0,-0.1,0.0,0.6,-0.9,-0.1,0.1,-0.1,0.4,0.2,0.3,0.2,-0.8,0.5,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diagne, Khaly",Lab for CHEM 2311,43,13299,-0.5,0.8,0.9,-0.7,0.4,0.5,0.6,0.4,0.0,0.4,0.0,0.2,0.5,0.6,0.3,0.1,0.1,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diagne, Khaly",Lab for CHEM 2311,45,11344,0.8,-0.2,-0.7,0.6,0.5,0.0,0.7,0.2,-0.5,-0.1,0.1,0.6,0.6,0.7,0.6,-0.2,0.4,0.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahn, Jiyoun",Lab for CHEM 2311,48,13303,0.3,0.2,0.3,0.1,0.5,0.6,0.7,0.5,0.3,0.4,0.4,0.5,0.9,0.9,0.6,0.4,0.4,0.4,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahn, Jiyoun",Lab for CHEM 2311,49,11534,1.2,0.2,1.0,1.0,0.6,0.7,0.7,0.4,-0.4,0.1,0.3,0.5,0.9,1.0,0.7,0.3,0.4,0.1,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ahn, Jiyoun",Lab for CHEM 2311,51,12360,-0.4,-1.4,-1.4,-0.6,0.3,0.4,0.5,0.7,-0.1,0.4,-0.3,0.2,0.5,0.6,0.4,0.0,0.4,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shafique, Atif",Lab for CHEM 2311,52,13309,1.0,-1.2,-1.1,0.0,0.4,0.2,0.3,0.3,-0.6,0.0,-0.3,0.1,-0.1,-0.5,0.5,-0.8,-0.3,-0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shafique, Atif",Lab for CHEM 2311,57,13311,-1.3,0.0,0.1,-1.5,0.6,0.7,0.3,0.3,-0.4,0.3,-0.1,0.6,0.4,0.0,0.7,-0.3,0.0,-0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, Tingyu",Lab for CHEM 2311,60,13314,0.2,-1.0,-0.9,0.0,0.1,0.2,0.3,-0.2,-0.4,-0.4,0.4,0.4,0.7,0.8,0.7,0.5,0.5,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
